Frame_No,Template_No,x,y,mx,my
2,1,106,242,105.959984,241.96321
2,2,210,227,209.99454,226.97275
2,3,573,152,572.99097,151.99812
2,4,675,219,675.0038,218.99457
2,5,1028,502,1027.9951,501.9902
3,1,106,242,105.57999,241.82072
3,2,210,227,209.65001,226.73221
3,3,573,152,572.647,151.83575
3,4,675,219,674.9866,218.97968
3,5,1028,502,1027.542,502.05432
4,1,106,242,105.77181,241.79184
4,2,210,227,209.82219,226.69704
4,3,573,152,572.9565,152.00464
4,4,675,219,675.0405,218.99962
4,5,1028,502,1027.6946,502.1779
5,1,106,242,105.66779,241.27817
5,2,210,227,209.70973,226.32066
5,3,573,152,572.79504,151.50357
5,4,675,219,675.0501,218.55162
5,5,1028,502,1027.8049,501.5949
6,1,106,242,106.16432,241.04776
6,2,210,227,210.19487,226.05054
6,3,573,152,573.2504,151.24976
6,4,675,219,675.4135,218.03822
6,5,1028,502,1028.0758,501.22928
7,1,106,242,106.035095,240.82141
7,2,210,227,210.0811,225.8336
7,3,573,152,572.99097,150.81546
7,4,675,219,675.3469,217.68895
7,5,1028,502,1027.8848,500.87296
8,1,106,242,106.05576,240.88623
8,2,210,227,210.10703,225.84978
8,3,573,152,573.2978,150.86404
8,4,675,219,675.4166,217.63863
8,5,1028,502,1028.0845,500.73065
9,1,106,242,106.16682,240.54897
9,2,210,227,210.06969,225.34772
9,3,573,152,573.38605,150.60684
9,4,675,219,675.3503,217.13567
9,5,1028,502,1028.2032,500.46924
10,1,106,242,105.98795,240.76222
10,2,210,227,210.0336,225.75867
10,3,573,152,573.29114,150.80887
10,4,675,219,675.59106,217.93445
10,5,1028,502,1028.1499,500.63315
11,1,106,242,106.08791,240.00264
11,2,210,227,210.15173,224.96507
11,3,573,152,573.2925,150.00842
11,4,675,219,675.5146,217.14403
11,5,1028,502,1028.2122,499.6659
12,1,106,242,106.05265,240.4065
12,2,210,227,209.98906,225.3579
12,3,573,152,573.28784,150.216
12,4,675,219,675.40564,216.98262
12,5,1028,502,1028.151,499.68494
13,1,106,242,106.398094,240.04195
13,2,210,227,210.18916,225.00883
13,3,573,152,573.6634,149.72772
13,4,675,219,675.9659,216.68594
13,5,1028,502,1028.3961,499.20837
14,1,106,242,105.90102,239.9863
14,2,210,227,209.98781,224.98335
14,3,573,152,573.221,149.77603
14,4,675,219,675.1462,216.2772
14,5,1028,502,1028.1213,498.91602
15,1,106,242,105.97836,240.04428
15,2,210,227,210.0362,224.99013
15,3,573,152,573.37286,149.56323
15,4,675,219,675.4978,215.9636
15,5,1028,502,1028.3507,498.69528
16,1,106,242,105.66799,240.41637
16,2,210,227,210.01308,225.048
16,3,573,152,573.24493,149.38632
16,4,675,219,675.46576,215.93912
16,5,1028,502,1028.2283,498.27274
17,1,106,242,106.21517,240.55003
17,2,210,227,210.21214,225.15561
17,3,573,152,573.9039,149.236
17,4,675,219,676.0531,215.84433
17,5,1028,502,1029.0496,497.89056
